Country Name,Pillar,Sub-Pillar,agg_score,count_source,agg_score_wt
Albania,Business,Financing Incentives,2.678406,1,0.2976006666666666
Algeria,Business,Financing Incentives,3.0705203216666668,1,0.3411689246296296
Angola,Business,Financing Incentives,1.588115155833333,1,0.176457239537037
Argentina,Business,Financing Incentives,2.1068387825,1,0.2340931980555555
Armenia,Business,Financing Incentives,2.925910314166667,1,0.3251011460185185
Australia,Business,Financing Incentives,3.1158331633333334,1,0.3462036848148148
Austria,Business,Financing Incentives,3.25864172,1,0.3620713022222222
Azerbaijan,Business,Financing Incentives,3.597705125833333,1,0.3997450139814814
Bahrain,Business,Financing Incentives,3.680592536666667,1,0.4089547262962963
Bangladesh,Business,Financing Incentives,2.2689036133333333,1,0.2521004014814815
Barbados,Business,Financing Incentives,1.8503401283333327,1,0.2055933475925925
Belgium,Business,Financing Incentives,3.340976,1,0.3712195555555555
Belize,Business,Financing Incentives,0.0,0,0.0
Benin,Business,Financing Incentives,1.9600563841666667,1,0.2177840426851851
Bhutan,Business,Financing Incentives,0.0,0,0.0
Bolivia,Business,Financing Incentives,2.327636440833333,1,0.2586262712037036
Bosnia and Herzegovina,Business,Financing Incentives,2.117049058333333,1,0.2352276731481481
Botswana,Business,Financing Incentives,2.4011468491666665,1,0.2667940943518518
Brazil,Business,Financing Incentives,2.7436569925,1,0.3048507769444444
Brunei Darussalam,Business,Financing Incentives,2.82736973,1,0.3141521922222222
Bulgaria,Business,Financing Incentives,2.9472795725000003,1,0.3274755080555556
Burkina Faso,Business,Financing Incentives,1.6030567483333336,1,0.1781174164814815
Burundi,Business,Financing Incentives,2.68439726,1,0.2982663622222222
Cabo Verde,Business,Financing Incentives,2.6541679700000005,1,0.2949075522222222
Cambodia,Business,Financing Incentives,2.82280918,1,0.3136454644444444
Cameroon,Business,Financing Incentives,2.386123696666667,1,0.2651248551851852
Canada,Business,Financing Incentives,3.50346144,1,0.3892734933333333
Chad,Business,Financing Incentives,1.9842155375,1,0.2204683930555555
Chile,Business,Financing Incentives,3.305286924166667,1,0.3672541026851852
China,Business,Financing Incentives,3.8483645125,1,0.4275960569444444
Colombia,Business,Financing Incentives,2.79359138,1,0.3103990422222222
"Congo, Dem. Rep.",Business,Financing Incentives,1.8897201216666664,1,0.2099689024074073
Costa Rica,Business,Financing Incentives,2.411718329166667,1,0.2679687032407407
Cote d'Ivoire,Business,Financing Incentives,1.8290547133333328,1,0.2032283014814814
Croatia,Business,Financing Incentives,2.355798840833333,1,0.2617554267592591
Cyprus,Business,Financing Incentives,2.395707925,1,0.2661897694444444
Czech Republic,Business,Financing Incentives,3.3312145475,1,0.3701349497222222
Denmark,Business,Financing Incentives,3.3250752683333338,1,0.3694528075925926
Dominican Republic,Business,Financing Incentives,2.8233189983333338,1,0.313702110925926
Ecuador,Business,Financing Incentives,2.391669313333333,1,0.2657410348148147
"Egypt, Arab Rep.",Business,Financing Incentives,2.727351745,1,0.3030390827777777
El Salvador,Business,Financing Incentives,2.3060929375,1,0.2562325486111111
Estonia,Business,Financing Incentives,3.354956865,1,0.372772985
Ethiopia,Business,Financing Incentives,2.912280718333333,1,0.3235867464814814
Finland,Business,Financing Incentives,4.440609375833333,1,0.4934010417592591
France,Business,Financing Incentives,3.685918410833333,1,0.4095464900925925
Gabon,Business,Financing Incentives,1.7552083333333337,1,0.1950231481481481
"Gambia, The",Business,Financing Incentives,2.656297644166666,1,0.2951441826851851
