Country Name,Year,Pillar,Sub-Pillar,Indicator,data_col,new_rank_score,higher_is_better
Uzbekistan,2019.0,Business,Startup Environment,Doing Business Index,67.4,4.37,False
Uzbekistan,2019.0,Business,Startup Environment,Ease of Getting Credit,65.0,4.25,True
Uzbekistan,2019.0,Business,Startup Environment,Regulatory Quality,17.53159656,1.876579828,True
Uzbekistan,2019.0,Business,Startup Environment,Strength of legal rights index (0=weak to 12=strong),6.0,3.5,True
Uzbekistan,2020.0,Business,Technology Adoption,UNCTAD Business-to-Consumer (B2C) E-commerce Index,37.0,2.85,True
Uzbekistan,2017.0,Foundations,Digital Payments,% Making online transactions - Women,4.0,1.2,True
Uzbekistan,2017.0,Foundations,Digital Payments,% of population with digital finance account,37.0,2.85,True
Uzbekistan,2018.0,Foundations,Digital Legal Identity,% of population with ID (all),96.0,5.8,True
Uzbekistan,2018.0,Foundations,Digital Legal Identity,can ID be used for transactions,1.0,6.0,True
Uzbekistan,2017.0,Foundations,Digital Payments,% of population with digital finance account - registered,37.0,2.85,True
Uzbekistan,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - all,34.0,2.7,True
Uzbekistan,2017.0,Foundations,Digital Payments,Made or received digital payments in the past year (% age 15+) - female,33.0,2.65,True
Uzbekistan,2017.0,Foundations,Digital Payments,% Making online transactions - Men,10.0,1.5,True
Uzbekistan,2017.0,Foundations,Digital Payments,Used a mobile phone or the internet to check account balance in the past year (% age 15+) - all,11.0,1.55,True
Uzbekistan,2020.0,Government,Capabilities,% of digital skills certifications / training courses completed,0.075,1.375,True
Uzbekistan,2020.0,Government,Digital Public Services,E-Participation index,0.8095,5.0475,True
Uzbekistan,2020.0,Government,Digital Public Services,Online-Service-Index (OSI),0.7824,4.912,True
Uzbekistan,2018.0,Government,Funding and procurement,R&D spending (% of GDP),0.13003,1.0065015,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,% of population covered by electricity,100.0,6.0,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,% of population covered by internet connectivity,70.4000024,4.520000120000001,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 2G+ data connectivity,98.6,5.93,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 3G+ data connectivity,75.5,4.775,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 4G+ data connectivity,44.0,3.2,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,% of population covered by mobile 5G+ data connectivity,0.0,1.0,True
Uzbekistan,2020.0,Infrastructure,Connectivity Technology,Broadband Density,14.4013259,1.720066295,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,Cellphone Signal Density,57.65999985,3.8829999925,True
Uzbekistan,2019.0,Infrastructure,Connectivity Technology,Electricity Density,1850.899,1.1628513009062365,True
Uzbekistan,2021.0,Infrastructure,Connectivity Technology,Electricity Environmental Sustainability,69.8,4.49,True
Uzbekistan,2020.0,Infrastructure,Connectivity Technology,Global Cybersecurity Index (GCI),71.11,4.5555,True
