Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Finland,2019,Gross National Wellbeing,100.0,6.0,True,Digital wellbeing
Switzerland,2019,Gross National Wellbeing,98.31,5.9155,True,Digital wellbeing
Denmark,2019,Gross National Wellbeing,98.28,5.914,True,Digital wellbeing
Iceland,2019,Gross National Wellbeing,95.13,5.7565,True,Digital wellbeing
Norway,2019,Gross National Wellbeing,93.35,5.6675,True,Digital wellbeing
Netherlands,2019,Gross National Wellbeing,93.02,5.651,True,Digital wellbeing
Luxembourg,2019,Gross National Wellbeing,92.6,5.63,True,Digital wellbeing
Sweden,2019,Gross National Wellbeing,92.49,5.6245,True,Digital wellbeing
Ireland,2019,Gross National Wellbeing,89.67,5.4835,True,Digital wellbeing
Australia,2019,Gross National Wellbeing,89.26,5.463,True,Digital wellbeing
New Zealand,2019,Gross National Wellbeing,88.69,5.4345,True,Digital wellbeing
Austria,2019,Gross National Wellbeing,88.5,5.425,True,Digital wellbeing
United Kingdom,2019,Gross National Wellbeing,87.75,5.3875,True,Digital wellbeing
Canada,2019,Gross National Wellbeing,86.8,5.34,True,Digital wellbeing
Germany,2019,Gross National Wellbeing,85.36,5.268,True,Digital wellbeing
Czech Republic,2019,Gross National Wellbeing,85.33,5.2665,True,Digital wellbeing
Costa Rica,2019,Gross National Wellbeing,84.61,5.2305,True,Digital wellbeing
United States,2019,Gross National Wellbeing,83.55,5.1775,True,Digital wellbeing
Israel,2019,Gross National Wellbeing,83.23,5.1615,True,Digital wellbeing
Oman,2019,Gross National Wellbeing,81.77,5.0885,True,Digital wellbeing
Belgium,2019,Gross National Wellbeing,80.18,5.009,True,Digital wellbeing
Malta,2019,Gross National Wellbeing,79.41,4.9704999999999995,True,Digital wellbeing
United Arab Emirates,2019,Gross National Wellbeing,78.97,4.9485,True,Digital wellbeing
France,2019,Gross National Wellbeing,78.56,4.928,True,Digital wellbeing
Slovenia,2019,Gross National Wellbeing,78.08,4.904,True,Digital wellbeing
Uruguay,2019,Gross National Wellbeing,76.8,4.84,True,Digital wellbeing
Saudi Arabia,2019,Gross National Wellbeing,76.03,4.8015,True,Digital wellbeing
Spain,2019,Gross National Wellbeing,73.99,4.6995000000000005,True,Digital wellbeing
El Salvador,2019,Gross National Wellbeing,73.94,4.697,True,Digital wellbeing
Brazil,2019,Gross National Wellbeing,73.87,4.6935,True,Digital wellbeing
