Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
China,2020,% of population with a smartphone,0.64,4.2,True,Usage and Ownership
India,2020,% of population with a smartphone,0.32,2.6,True,Usage and Ownership
United States,2020,% of population with a smartphone,0.82,5.1,True,Usage and Ownership
Indonesia,2020,% of population with a smartphone,0.59,3.9499999999999997,True,Usage and Ownership
Brazil,2020,% of population with a smartphone,0.51,3.55,True,Usage and Ownership
Russia,2020,% of population with a smartphone,0.69,4.449999999999999,True,Usage and Ownership
Japan,2020,% of population with a smartphone,0.63,4.15,True,Usage and Ownership
Mexico,2020,% of population with a smartphone,0.54,3.7,True,Usage and Ownership
Germany,2020,% of population with a smartphone,0.78,4.9,True,Usage and Ownership
Vietnam,2020,% of population with a smartphone,0.63,4.15,True,Usage and Ownership
United Kingdom,2020,% of population with a smartphone,0.79,4.95,True,Usage and Ownership
Bangladesh,2020,% of population with a smartphone,0.32,2.6,True,Usage and Ownership
Iran,2020,% of population with a smartphone,0.63,4.15,True,Usage and Ownership
Turkey,2020,% of population with a smartphone,0.62,4.1,True,Usage and Ownership
France,2020,% of population with a smartphone,0.78,4.9,True,Usage and Ownership
Italy,2020,% of population with a smartphone,0.76,4.8,True,Usage and Ownership
Philippines,2020,% of population with a smartphone,0.38,2.9,True,Usage and Ownership
Pakistan,2020,% of population with a smartphone,0.18,1.9,True,Usage and Ownership
South Korea,2020,% of population with a smartphone,0.77,4.85,True,Usage and Ownership
Thailand,2020,% of population with a smartphone,0.54,3.7,True,Usage and Ownership
