,Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
0,Sweden ,2020,"Networking Services (Spend, IT Forecast Data)",82.75,5.1375,True,Technology adoption
1,Denmark ,2020,"Networking Services (Spend, IT Forecast Data)",82.19,5.1095,True,Technology adoption
2,Singapore ,2020,"Networking Services (Spend, IT Forecast Data)",81.39,5.0695,True,Technology adoption
3,Netherlands ,2020,"Networking Services (Spend, IT Forecast Data)",81.37,5.0685,True,Technology adoption
4,Switzerland ,2020,"Networking Services (Spend, IT Forecast Data)",80.41,5.020499999999999,True,Technology adoption
5,Finland ,2020,"Networking Services (Spend, IT Forecast Data)",80.16,5.007999999999999,True,Technology adoption
6,Norway ,2020,"Networking Services (Spend, IT Forecast Data)",79.39,4.9695,True,Technology adoption
7,United States ,2020,"Networking Services (Spend, IT Forecast Data)",78.91,4.945499999999999,True,Technology adoption
8,Germany ,2020,"Networking Services (Spend, IT Forecast Data)",77.48,4.8740000000000006,True,Technology adoption
9,United Kingdom ,2020,"Networking Services (Spend, IT Forecast Data)",76.27,4.8134999999999994,True,Technology adoption
10,Luxembourg ,2020,"Networking Services (Spend, IT Forecast Data)",75.27,4.7635,True,Technology adoption
11,Australia ,2020,"Networking Services (Spend, IT Forecast Data)",75.09,4.7545,True,Technology adoption
12,Canada ,2020,"Networking Services (Spend, IT Forecast Data)",74.92,4.746,True,Technology adoption
13,"Korea, Rep. ",2020,"Networking Services (Spend, IT Forecast Data)",74.6,4.73,True,Technology adoption
14,Japan ,2020,"Networking Services (Spend, IT Forecast Data)",73.54,4.6770000000000005,True,Technology adoption
15,New Zealand ,2020,"Networking Services (Spend, IT Forecast Data)",73.27,4.663499999999999,True,Technology adoption
16,France ,2020,"Networking Services (Spend, IT Forecast Data)",73.18,4.659000000000001,True,Technology adoption
17,Austria ,2020,"Networking Services (Spend, IT Forecast Data)",72.92,4.646000000000001,True,Technology adoption
18,Ireland ,2020,"Networking Services (Spend, IT Forecast Data)",72.13,4.6065,True,Technology adoption
19,Belgium ,2020,"Networking Services (Spend, IT Forecast Data)",70.67,4.5335,True,Technology adoption
20,Iceland ,2020,"Networking Services (Spend, IT Forecast Data)",70.55,4.5275,True,Technology adoption
21,Hong Kong (China) ,2020,"Networking Services (Spend, IT Forecast Data)",70.52,4.526,True,Technology adoption
