Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Austria,2017,ICT task-intensive jobs as a percentage of total employment,10.88416,1.544208,True,Technology adoption
Belgium,2017,ICT task-intensive jobs as a percentage of total employment,14.44826,1.722413,True,Technology adoption
Czech Republic,2017,ICT task-intensive jobs as a percentage of total employment,9.219953,1.46099765,True,Technology adoption
Estonia,2017,ICT task-intensive jobs as a percentage of total employment,15.76142,1.788071,True,Technology adoption
Finland,2017,ICT task-intensive jobs as a percentage of total employment,15.22048,1.761024,True,Technology adoption
France,2017,ICT task-intensive jobs as a percentage of total employment,12.00835,1.6004175,True,Technology adoption
Germany,2017,ICT task-intensive jobs as a percentage of total employment,10.4419,1.5220950000000002,True,Technology adoption
Greece,2017,ICT task-intensive jobs as a percentage of total employment,6.675247,1.33376235,True,Technology adoption
Hungary,2017,ICT task-intensive jobs as a percentage of total employment,8.369766,1.4184883,True,Technology adoption
Iceland,2017,ICT task-intensive jobs as a percentage of total employment,14.27687,1.7138434999999999,True,Technology adoption
Italy,2017,ICT task-intensive jobs as a percentage of total employment,7.254931,1.36274655,True,Technology adoption
Latvia,2017,ICT task-intensive jobs as a percentage of total employment,12.48296,1.624148,True,Technology adoption
Lithuania,2017,ICT task-intensive jobs as a percentage of total employment,16.27694,1.813847,True,Technology adoption
Luxembourg,2017,ICT task-intensive jobs as a percentage of total employment,21.68519,2.0842595,True,Technology adoption
Netherlands,2017,ICT task-intensive jobs as a percentage of total employment,15.73361,1.7866805000000001,True,Technology adoption
Norway,2017,ICT task-intensive jobs as a percentage of total employment,14.72047,1.7360235,True,Technology adoption
Poland,2017,ICT task-intensive jobs as a percentage of total employment,11.12569,1.5562844999999998,True,Technology adoption
Slovak Republic,2017,ICT task-intensive jobs as a percentage of total employment,6.841666,1.3420833,True,Technology adoption
Slovenia,2017,ICT task-intensive jobs as a percentage of total employment,13.19362,1.659681,True,Technology adoption
Spain,2017,ICT task-intensive jobs as a percentage of total employment,8.421205,1.42106025,True,Technology adoption
Sweden,2017,ICT task-intensive jobs as a percentage of total employment,16.58881,1.8294405,True,Technology adoption
Switzerland,2017,ICT task-intensive jobs as a percentage of total employment,15.37265,1.7686324999999998,True,Technology adoption
United Kingdom,2017,ICT task-intensive jobs as a percentage of total employment,17.392,1.8696,True,Technology adoption
United States,2017,ICT task-intensive jobs as a percentage of total employment,17.8225,1.8911250000000002,True,Technology adoption
