Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Philippines,2020,Device Addiction (time of use on internet / on devices),10.56,6.0,True,Digital Wellbeing
Brazil,2020,Device Addiction (time of use on internet / on devices),10.08,5.619651347068145,True,Digital Wellbeing
Colombia,2020,Device Addiction (time of use on internet / on devices),10.07,5.611727416798732,True,Digital Wellbeing
South Africa,2020,Device Addiction (time of use on internet / on devices),10.06,5.603803486529319,True,Digital Wellbeing
Argentina,2020,Device Addiction (time of use on internet / on devices),9.39,5.072900158478605,True,Digital Wellbeing
Malaysia,2020,Device Addiction (time of use on internet / on devices),9.17,4.898573692551505,True,Digital Wellbeing
Mexico,2020,Device Addiction (time of use on internet / on devices),9.01,4.771790808240887,True,Digital Wellbeing
Indonesia,2020,Device Addiction (time of use on internet / on devices),8.52,4.383518225039619,True,Digital Wellbeing
Thailand,2020,Device Addiction (time of use on internet / on devices),8.44,4.3201267828843095,True,Digital Wellbeing
Taiwan,2020,Device Addiction (time of use on internet / on devices),8.08,4.034865293185419,True,Digital Wellbeing
Singapore,2020,Device Addiction (time of use on internet / on devices),8.07,4.0269413629160065,True,Digital Wellbeing
Turkey,2020,Device Addiction (time of use on internet / on devices),7.57,3.6307448494453247,True,Digital Wellbeing
Russia,2020,Device Addiction (time of use on internet / on devices),7.52,3.5911251980982564,True,Digital Wellbeing
Saudi Arabia,2020,Device Addiction (time of use on internet / on devices),7.45,3.535657686212361,True,Digital Wellbeing
Egypt,2020,Device Addiction (time of use on internet / on devices),7.36,3.464342313787639,True,Digital Wellbeing
Israel,2020,Device Addiction (time of use on internet / on devices),7.27,3.3930269413629155,True,Digital Wellbeing
Romania,2020,Device Addiction (time of use on internet / on devices),7.26,3.385103011093502,True,Digital Wellbeing
U.A.E,2020,Device Addiction (time of use on internet / on devices),7.24,3.3692551505546753,True,Digital Wellbeing
Portugal,2020,Device Addiction (time of use on internet / on devices),7.2,3.3375594294770203,True,Digital Wellbeing
Hong Kong,2020,Device Addiction (time of use on internet / on devices),7.15,3.2979397781299524,True,Digital Wellbeing
United States,2020,Device Addiction (time of use on internet / on devices),7.11,3.266244057052298,True,Digital Wellbeing
Worldwide,2020,Device Addiction (time of use on internet / on devices),6.45,2.7432646592709986,True,Digital Wellbeing
Vietnam,2020,Device Addiction (time of use on internet / on devices),6.47,2.7591125198098254,True,Digital Wellbeing
Poland,2020,Device Addiction (time of use on internet / on devices),6.44,2.735340729001585,True,Digital Wellbeing
New Zeland,2020,Device Addiction (time of use on internet / on devices),6.39,2.6957210776545164,True,Digital Wellbeing
India,2020,Device Addiction (time of use on internet / on devices),6.36,2.6719492868462758,True,Digital Wellbeing
Ireland,2020,Device Addiction (time of use on internet / on devices),6.3,2.624405705229794,True,Digital Wellbeing
Canada,2020,Device Addiction (time of use on internet / on devices),6.26,2.5927099841521395,True,Digital Wellbeing
United Kingdom,2020,Device Addiction (time of use on internet / on devices),6.26,2.5927099841521395,True,Digital Wellbeing
Italy,2020,Device Addiction (time of use on internet / on devices),6.22,2.5610142630744845,True,Digital Wellbeing
Sweden,2020,Device Addiction (time of use on internet / on devices),6.15,2.5055467511885894,True,Digital Wellbeing
Australia,2020,Device Addiction (time of use on internet / on devices),6.13,2.4896988906497617,True,Digital Wellbeing
Spain,2020,Device Addiction (time of use on internet / on devices),6.11,2.473851030110935,True,Digital Wellbeing
Austria,2020,Device Addiction (time of use on internet / on devices),5.46,1.958795562599049,True,Digital Wellbeing
Switzerland,2020,Device Addiction (time of use on internet / on devices),5.4,1.9112519809825677,True,Digital Wellbeing
France,2020,Device Addiction (time of use on internet / on devices),5.37,1.8874801901743266,True,Digital Wellbeing
South Korea,2020,Device Addiction (time of use on internet / on devices),5.37,1.8874801901743266,True,Digital Wellbeing
Belgium,2020,Device Addiction (time of use on internet / on devices),5.28,1.816164817749604,True,Digital Wellbeing
Netherlands,2020,Device Addiction (time of use on internet / on devices),5.28,1.816164817749604,True,Digital Wellbeing
Germany,2020,Device Addiction (time of use on internet / on devices),5.26,1.8003169572107764,True,Digital Wellbeing
China,2020,Device Addiction (time of use on internet / on devices),5.22,1.7686212361331217,True,Digital Wellbeing
Denmark,2020,Device Addiction (time of use on internet / on devices),5.16,1.7210776545166402,True,Digital Wellbeing
Japan,2020,Device Addiction (time of use on internet / on devices),4.25,1.0,True,Digital Wellbeing
