Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Austria,2010,Share of businesses with broadband,82.06,5.094794,True,Technology Adoption
Czech Republic,2010,Share of businesses with broadband,86.52,5.317348,True,Technology Adoption
Estonia,2010,Share of businesses with broadband,88.08,5.395192,True,Technology Adoption
France,2010,Share of businesses with broadband,93.31,5.656169,True,Technology Adoption
Germany,2010,Share of businesses with broadband,89.34,5.4580660000000005,True,Technology Adoption
Hungary,2010,Share of businesses with broadband,79.61,4.972538999999999,True,Technology Adoption
Iceland,2010,Share of businesses with broadband,95.43,5.761957000000001,True,Technology Adoption
Ireland,2010,Share of businesses with broadband,86.84,5.333316,True,Technology Adoption
Italy,2010,Share of businesses with broadband,84.12,5.1975880000000005,True,Technology Adoption
Luxembourg,2010,Share of businesses with broadband,87.91,5.386709,True,Technology Adoption
Netherlands,2010,Share of businesses with broadband,90.93,5.537407000000001,True,Technology Adoption
Norway,2010,Share of businesses with broadband,86.92,5.337308,True,Technology Adoption
Poland,2010,Share of businesses with broadband,69.34,4.460066,True,Technology Adoption
Portugal,2010,Share of businesses with broadband,84.75,5.229025,True,Technology Adoption
Slovak Republic,2010,Share of businesses with broadband,78.32,4.908168,True,Technology Adoption
Slovenia,2010,Share of businesses with broadband,,,True,Technology Adoption
Spain,2010,Share of businesses with broadband,95.44,5.762456,True,Technology Adoption
Sweden,2010,Share of businesses with broadband,91.41,5.5613589999999995,True,Technology Adoption
Turkey,2010,Share of businesses with broadband,88.86,5.434114,True,Technology Adoption
United Kingdom,2010,Share of businesses with broadband,88.03,5.392697,True,Technology Adoption
