Country Name,Year,Indicator,data_col,new_rank_score,higher_is_better,Sub-Pillar
Cabo Verde,2019.0,Gender gap in internet usage,60.965017,4.0482508500000005,True,Usage and Ownership
Côte d'Ivoire,2019.0,Gender gap in internet usage,32.92444456,2.646222228,True,Usage and Ownership
Kenya,2019.0,Gender gap in internet usage,20.12512243,2.0062561215,True,Usage and Ownership
Lesotho,2019.0,Gender gap in internet usage,44.92276804,3.246138402,True,Usage and Ownership
Mauritius,2019.0,Gender gap in internet usage,60.13064467,4.0065322335,True,Usage and Ownership
Bahrain,2019.0,Gender gap in internet usage,99.31640309,5.965820154499999,True,Usage and Ownership
Egypt,2019.0,Gender gap in internet usage,52.98698988,3.649349494,True,Usage and Ownership
Kuwait,2019.0,Gender gap in internet usage,99.57995943,5.9789979715,True,Usage and Ownership
Morocco,2019.0,Gender gap in internet usage,70.16712968,4.508356484,True,Usage and Ownership
Oman,2019.0,Gender gap in internet usage,97.15346632,5.8576733160000005,True,Usage and Ownership
Palestine,2019.0,Gender gap in internet usage,68.93449038,4.446724519,True,Usage and Ownership
Qatar,2019.0,Gender gap in internet usage,99.3194985,5.965974925,True,Usage and Ownership
Saudi Arabia,2019.0,Gender gap in internet usage,94.56689044,5.7283445219999996,True,Usage and Ownership
Tunisia,2019.0,Gender gap in internet usage,61.11255938,4.055627969,True,Usage and Ownership
United Arab Emirates,2019.0,Gender gap in internet usage,99.50150764,5.975075382,True,Usage and Ownership
Brunei Darussalam,2019.0,Gender gap in internet usage,99.75022604,5.987511302000001,True,Usage and Ownership
Cambodia,2019.0,Gender gap in internet usage,77.78378557,4.8891892785,True,Usage and Ownership
China,2019.0,Gender gap in internet usage,63.52405152,4.176202576,True,Usage and Ownership
"Hong Kong, China",2019.0,Gender gap in internet usage,90.47216801,5.523608400500001,True,Usage and Ownership
Indonesia,2019.0,Gender gap in internet usage,44.86402159,3.2432010795,True,Usage and Ownership
Iran (Islamic Republic of),2019.0,Gender gap in internet usage,71.61635451,4.580817725499999,True,Usage and Ownership
Japan,2019.0,Gender gap in internet usage,90.9524801,5.547624005,True,Usage and Ownership
Korea (Rep. of),2019.0,Gender gap in internet usage,95.31349602,5.765674801,True,Usage and Ownership
"Macao, China",2019.0,Gender gap in internet usage,85.75598365,5.287799182500001,True,Usage and Ownership
Malaysia,2019.0,Gender gap in internet usage,82.36896816,5.118448408,True,Usage and Ownership
Mongolia,2019.0,Gender gap in internet usage,55.04734908,3.752367454,True,Usage and Ownership
Pakistan,2019.0,Gender gap in internet usage,12.92844227,1.6464221135,True,Usage and Ownership
Singapore,2019.0,Gender gap in internet usage,87.80582903,5.3902914514999996,True,Usage and Ownership
Thailand,2019.0,Gender gap in internet usage,65.57296567,4.278648283500001,True,Usage and Ownership
Viet Nam,2019.0,Gender gap in internet usage,65.50475236,4.275237618,True,Usage and Ownership
Armenia,2019.0,Gender gap in internet usage,67.22694118,4.361347059,True,Usage and Ownership
Azerbaijan,2019.0,Gender gap in internet usage,78.03007612,4.901503806,True,Usage and Ownership
Belarus,2019.0,Gender gap in internet usage,83.03013958,5.151506979,True,Usage and Ownership
Kazakhstan,2019.0,Gender gap in internet usage,80.99023385,5.049511692499999,True,Usage and Ownership
Russian Federation,2019.0,Gender gap in internet usage,81.98767073,5.0993835365,True,Usage and Ownership
Uzbekistan,2019.0,Gender gap in internet usage,65.91775518,4.295887758999999,True,Usage and Ownership
Albania,2019.0,Gender gap in internet usage,65.96156004,4.298078002,True,Usage and Ownership
Austria,2019.0,Gender gap in internet usage,85.26650739,5.2633253695,True,Usage and Ownership
Belgium,2019.0,Gender gap in internet usage,89.2103486,5.4605174299999995,True,Usage and Ownership
Bosnia and Herzegovina,2019.0,Gender gap in internet usage,67.45225822,4.372612911,True,Usage and Ownership
Bulgaria,2019.0,Gender gap in internet usage,66.69928025,4.3349640125,True,Usage and Ownership
Croatia,2019.0,Gender gap in internet usage,76.1521023,4.807605114999999,True,Usage and Ownership
Cyprus,2019.0,Gender gap in internet usage,85.84730878,5.292365439,True,Usage and Ownership
Czech Republic,2019.0,Gender gap in internet usage,78.33164069,4.916582034499999,True,Usage and Ownership
Denmark,2019.0,Gender gap in internet usage,98.05809938,5.902904969,True,Usage and Ownership
Estonia,2019.0,Gender gap in internet usage,89.48928179,5.4744640895000005,True,Usage and Ownership
Finland,2019.0,Gender gap in internet usage,88.88643491,5.4443217455,True,Usage and Ownership
France,2019.0,Gender gap in internet usage,82.16576693,5.1082883465,True,Usage and Ownership
Georgia,2019.0,Gender gap in internet usage,67.7768481,4.388842405,True,Usage and Ownership
Germany,2019.0,Gender gap in internet usage,85.2831396,5.26415698,True,Usage and Ownership
Greece,2019.0,Gender gap in internet usage,73.99621178,4.699810589,True,Usage and Ownership
Hungary,2019.0,Gender gap in internet usage,79.65167855,4.9825839275,True,Usage and Ownership
Ireland,2019.0,Gender gap in internet usage,87.98193266,5.399096633,True,Usage and Ownership
Israel,2019.0,Gender gap in internet usage,86.06911373,5.3034556865,True,Usage and Ownership
Latvia,2019.0,Gender gap in internet usage,85.01046862,5.2505234309999995,True,Usage and Ownership
Lithuania,2019.0,Gender gap in internet usage,82.34446641,5.1172233205,True,Usage and Ownership
Luxembourg,2019.0,Gender gap in internet usage,96.88050643,5.844025321499999,True,Usage and Ownership
Malta,2019.0,Gender gap in internet usage,85.81534372,5.290767186,True,Usage and Ownership
Montenegro,2019.0,Gender gap in internet usage,71.08089856,4.554044928,True,Usage and Ownership
Netherlands,2019.0,Gender gap in internet usage,92.0,5.6,True,Usage and Ownership
North Macedonia,2019.0,Gender gap in internet usage,80.76745136,5.038372568,True,Usage and Ownership
Norway,2019.0,Gender gap in internet usage,97.00000891,5.8500004455,True,Usage and Ownership
Poland,2019.0,Gender gap in internet usage,79.96973525,4.9984867625,True,Usage and Ownership
Portugal,2019.0,Gender gap in internet usage,74.05943938,4.702971969,True,Usage and Ownership
Romania,2019.0,Gender gap in internet usage,72.04119809,4.602059904499999,True,Usage and Ownership
Serbia,2019.0,Gender gap in internet usage,73.73677398,4.686838699,True,Usage and Ownership
Slovakia,2019.0,Gender gap in internet usage,82.31635059,5.1158175295,True,Usage and Ownership
Slovenia,2019.0,Gender gap in internet usage,81.96276645,5.0981383225000005,True,Usage and Ownership
Spain,2019.0,Gender gap in internet usage,90.74373116,5.537186557999999,True,Usage and Ownership
Sweden,2019.0,Gender gap in internet usage,94.07715545,5.7038577725,True,Usage and Ownership
Switzerland,2019.0,Gender gap in internet usage,91.25823773,5.5629118865,True,Usage and Ownership
Turkey,2019.0,Gender gap in internet usage,67.59839643,4.3799198215,True,Usage and Ownership
Ukraine,2019.0,Gender gap in internet usage,68.17509986,4.4087549930000005,True,Usage and Ownership
United Kingdom,2019.0,Gender gap in internet usage,91.401132,5.5700566,True,Usage and Ownership
Bolivia (Plurinational State of),2019.0,Gender gap in internet usage,44.43076351,3.2215381754999997,True,Usage and Ownership
Brazil,2019.0,Gender gap in internet usage,73.47293867,4.673646933500001,True,Usage and Ownership
Colombia,2019.0,Gender gap in internet usage,65.89683719,4.2948418595,True,Usage and Ownership
Costa Rica,2019.0,Gender gap in internet usage,81.97330054,5.098665026999999,True,Usage and Ownership
Cuba,2019.0,Gender gap in internet usage,75.11275379,4.7556376895,True,Usage and Ownership
El Salvador,2019.0,Gender gap in internet usage,48.87095779,3.4435478895,True,Usage and Ownership
Guatemala,2019.0,Gender gap in internet usage,41.84880108,3.092440054,True,Usage and Ownership
Mexico,2019.0,Gender gap in internet usage,68.5746531,4.428732655,True,Usage and Ownership
Panama,2019.0,Gender gap in internet usage,63.81149369,4.1905746845,True,Usage and Ownership
Paraguay,2019.0,Gender gap in internet usage,69.01722958,4.450861479,True,Usage and Ownership
Peru,2019.0,Gender gap in internet usage,56.99214438,3.849607219,True,Usage and Ownership
Uruguay,2019.0,Gender gap in internet usage,83.83570588,5.191785294,True,Usage and Ownership
