Origin,2018,2019 Estimate,,,,,,,,
China,"53,349","58,990",,,,,,,,
United States of America,"56,252","57,840",,,,,,,,
Japan,"49,706","52,660",,,,,,,,
Germany,"19,742","19,353",,,,,,,,
Republic of Korea,"16,917","19,085",,,,,,,,
France,"7,918","7,934",,,,,,,,
United Kingdom,"5,634","5,786",,,,,,,,
Switzerland,"4,576","4,610",,,,,,,,
Sweden,"4,168","4,185",,,,,,,,
Netherlands  ,"4,134","4,011",,,,,,,,
Italy,"3,330","3,388",,,,,,,,
Canada,"2,417","2,711",,,,,,,,
Turkey,"1,403","2,058",,,,,,,,
India,"2,007","2,053",,,,,,,,
Israel,"1,898","2,006",,,,,,,,
Australia,"1,826","1,768",,,,,,,,
Finland,"1,834","1,655",,,,,,,,
Spain,"1,399","1,513",,,,,,,,
Denmark,"1,445","1,452",,,,,,,,
Austria,"1,484","1,444",,,,,,,,
Belgium,"1,299","1,355",,,,,,,,
Russian Federation,"1,035","1,218",,,,,,,,
Singapore,935,"1,029",,,,,,,,
Norway,767,781,,,,,,,,
Brazil,616,644,,,,,,,,
Ireland,628,642,,,,,,,,
Saudi Arabia,663,552,,,,,,,,
Poland,333,364,,,,,,,,
Luxembourg,388,348,,,,,,,,
South Africa,275,281,,,,,,,,
Liechtenstein,263,265,,,,,,,,
New Zealand,275,250,,,,,,,,
Iran (Islamic Republic of),176,229,,,,,,,,
Chile,241,224,,,,,,,,
Mexico,273,220,,,,,,,,
Malaysia,144,202,,,,,,,,
Portugal,250,196,,,,,,,,
Czech Republic,180,186,,,,,,,,
Ukraine,155,184,,,,,,,,
Hungary ,153,157,,,,,,,,
Thailand,102,146,,,,,,,,
Colombia,159,127,,,,,,,,
Greece,115,123,,,,,,,,
United Arab Emirates,100,108,,,,,,,,
Slovenia,116,89,,,,,,,,
Barbados,96,79,,,,,,,,
Bulgaria,60,49,,,,,,,,
Antigua and Barbuda,96,47,,,,,,,,
Cyprus,39,44,,,,,,,,
Egypt,44,44,,,,,,,,
Romania,32,42,,,,,,,,
Croatia,39,41,,,,,,,,
Iceland,49,41,,,,,,,,
Slovakia,50,41,,,,,,,,
Estonia,49,38,,,,,,,,
Malta,43,38,,,,,,,,
Serbia,20,38,,,,,,,,
Argentina,42,36,,,,,,,,
Latvia,31,36,,,,,,,,
Morocco,49,34,,,,,,,,
Viet Nam,22,34,,,,,,,,
Lithuania,37,32,,,,,,,,
Kazakhstan,18,27,,,,,,,,
Peru,37,26,,,,,,,,
Qatar,15,25,,,,,,,,
Philippines,18,21,,,,,,,,
Jordan,12,19,,,,,,,,
Ecuador,31,18,,,,,,,,
Panama,186,17,,,,,,,,
Sri Lanka,18,17,,,,,,,,
Belarus,23,16,,,,,,,,
Bermuda,23,15,,,,,,,,
Dominican Republic,4,13,,,,,,,,
Azerbaijan,17,12,,,,,,,,
Costa Rica,13,12,,,,,,,,
Monaco,23,12,,,,,,,,
Tunisia,7,11,,,,,,,,
Mauritius,4,10,,,,,,,,
Oman,14,10,,,,,,,,
Uruguay,8,10,,,,,,,,
Algeria,16,9,,,,,,,,
Cuba,7,9,,,,,,,,
Kenya,8,8,,,,,,,,
Indonesia,7,7,,,,,,,,
Republic of Moldova,5,7,,,,,,,,
Georgia,6,6,,,,,,,,
Kuwait,6,5,,,,,,,,
North Macedonia,6,5,,,,,,,,
Saint Kitts and Nevis,4,5,,,,,,,,
San Marino,3,5,,,,,,,,
Andorra,7,4,,,,,,,,
Senegal,4,4,,,,,,,,
Albania,0,3,,,,,,,,
Armenia,6,3,,,,,,,,
Lebanon,6,3,,,,,,,,
Namibia,3,3,,,,,,,,
Sudan,6,3,,,,,,,,
Syrian Arab Republic,1,3,,,,,,,,
Trinidad and Tobago,6,3,,,,,,,,
 Bahamas,4,2,,,,,,,,
Bahrain,1,2,,,,,,,,
Bangladesh,0,2,,,,,,,,
Bosnia and Herzegovina,5,2,,,,,,,,
Brunei Darussalam,1,2,,,,,,,,
El Salvador,1,2,,,,,,,,
Iraq,0,2,,,,,,,,
Kyrgyzstan,0,2,,,,,,,,
Uganda,1,2,,,,,,,,
Zimbabwe,1,2,,,,,,,,
Benin  ,0,1,,,,,,,,
Burkina Faso,0,1,,,,,,,,
Cameroon,1,1,,,,,,,,
Congo,0,1,,,,,,,,
Côte d'Ivoire,0,1,,,,,,,,
Democratic People's Republic of Korea,2,1,,,,,,,,
Ethiopia,0,1,,,,,,,,
Fiji,1,1,,,,,,,,
Jamaica,0,1,,,,,,,,
Montenegro,8,1,,,,,,,,
Mozambique,0,1,,,,,,,,
Nigeria,2,1,,,,,,,,
Pakistan,0,1,,,,,,,,
Samoa,1,1,,,,,,,,
Seychelles,2,1,,,,,,,,
Turkmenistan,0,1,,,,,,,,
Uzbekistan,2,1,,,,,,,,
Venezuela (Bolivarian Republic of),0,1,,,,,,,,
Belize,1,0,,,,,,,,
Democratic Republic of the Congo,1,0,,,,,,,,
Guatemala,1,0,,,,,,,,
Guyana,1,0,,,,,,,,
Holy See,1,0,,,,,,,,
Lao People's Democratic Republic,3,0,,,,,,,,
Libya,2,0,,,,,,,,
Madagascar,1,0,,,,,,,,
Mongolia,2,0,,,,,,,,
Nicaragua,1,0,,,,,,,,
Niger,1,0,,,,,,,,
Rwanda,1,0,,,,,,,,
Tajikistan,1,0,,,,,,,,
United Republic of Tanzania,2,0,,,,,,,,
Yemen,1,0,,,,,,,,
Zambia,2,0,,,,,,,,
Unknown,264,240,,,,,,,,
