2018,Origin,2019 Estimate,
"53,349",China,"58,990",
"56,252",United States of America,"57,840",
"49,706",Japan,"52,660",
"19,742",Germany,"19,353",
"16,917",Republic of Korea,"19,085",
"7,918",France,"7,934",
"5,634",United Kingdom,"5,786",
"4,576",Switzerland,"4,610",
"4,168",Sweden,"4,185",
"4,134",Netherlands  ,"4,011",
"3,330",Italy,"3,388",
"2,417",Canada,"2,711",
"1,403",Turkey,"2,058",
"2,007",India,"2,053",
"1,898",Israel,"2,006",
"1,826",Australia,"1,768",
"1,834",Finland,"1,655",
"1,399",Spain,"1,513",
"1,445",Denmark,"1,452",
"1,484",Austria,"1,444",
"1,299",Belgium,"1,355",
"1,035",Russian Federation,"1,218",
935,Singapore,"1,029",
767,Norway,781,
616,Brazil,644,
628,Ireland,642,
663,Saudi Arabia,552,
333,Poland,364,
388,Luxembourg,348,
275,South Africa,281,
263,Liechtenstein,265,
275,New Zealand,250,
176,Iran (Islamic Republic of),229,
241,Chile,224,
273,Mexico,220,
144,Malaysia,202,
250,Portugal,196,
180,Czech Republic,186,
155,Ukraine,184,
153,Hungary ,157,
102,Thailand,146,
159,Colombia,127,
115,Greece,123,
100,United Arab Emirates,108,
116,Slovenia,89,
96,Barbados,79,
60,Bulgaria,49,
96,Antigua and Barbuda,47,
39,Cyprus,44,
44,Egypt,44,
32,Romania,42,
39,Croatia,41,
49,Iceland,41,
50,Slovakia,41,
49,Estonia,38,
43,Malta,38,
20,Serbia,38,
42,Argentina,36,
31,Latvia,36,
49,Morocco,34,
22,Viet Nam,34,
37,Lithuania,32,
18,Kazakhstan,27,
37,Peru,26,
15,Qatar,25,
18,Philippines,21,
12,Jordan,19,
31,Ecuador,18,
186,Panama,17,
18,Sri Lanka,17,
23,Belarus,16,
23,Bermuda,15,
4,Dominican Republic,13,
17,Azerbaijan,12,
13,Costa Rica,12,
23,Monaco,12,
7,Tunisia,11,
4,Mauritius,10,
14,Oman,10,
8,Uruguay,10,
16,Algeria,9,
7,Cuba,9,
8,Kenya,8,
7,Indonesia,7,
5,Republic of Moldova,7,
6,Georgia,6,
6,Kuwait,5,
6,North Macedonia,5,
4,Saint Kitts and Nevis,5,
3,San Marino,5,
7,Andorra,4,
4,Senegal,4,
0,Albania,3,
6,Armenia,3,
6,Lebanon,3,
3,Namibia,3,
6,Sudan,3,
1,Syrian Arab Republic,3,
6,Trinidad and Tobago,3,
4, Bahamas,2,
1,Bahrain,2,
0,Bangladesh,2,
5,Bosnia and Herzegovina,2,
1,Brunei Darussalam,2,
1,El Salvador,2,
0,Iraq,2,
0,Kyrgyzstan,2,
1,Uganda,2,
1,Zimbabwe,2,
0,Benin  ,1,
0,Burkina Faso,1,
1,Cameroon,1,
0,Congo,1,
0,Côte d'Ivoire,1,
2,Democratic People's Republic of Korea,1,
0,Ethiopia,1,
1,Fiji,1,
0,Jamaica,1,
8,Montenegro,1,
0,Mozambique,1,
2,Nigeria,1,
0,Pakistan,1,
1,Samoa,1,
2,Seychelles,1,
0,Turkmenistan,1,
2,Uzbekistan,1,
0,Venezuela (Bolivarian Republic of),1,
1,Belize,0,
1,Democratic Republic of the Congo,0,
1,Guatemala,0,
1,Guyana,0,
1,Holy See,0,
3,Lao People's Democratic Republic,0,
2,Libya,0,
1,Madagascar,0,
2,Mongolia,0,
1,Nicaragua,0,
1,Niger,0,
1,Rwanda,0,
1,Tajikistan,0,
2,United Republic of Tanzania,0,
1,Yemen,0,
2,Zambia,0,
264,Unknown,240,
