Pillar,Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Infrastructure,Connectivity Technology,Afghanistan,2.5207154958782523,20,2.191926518155002
Infrastructure,Connectivity Technology,Africa,1.0585266370550304,1,0.04602289726326219
Infrastructure,Connectivity Technology,Africa Eastern and Southern,3.1820330555000003,1,0.13834926328260871
Infrastructure,Connectivity Technology,Africa Western and Central,3.5670710735,1,0.15509004667391305
Infrastructure,Connectivity Technology,Albania,3.7930542504006026,23,3.7930542504006026
Infrastructure,Connectivity Technology,Algeria,3.3759378125756534,21,3.082378002786466
Infrastructure,Connectivity Technology,American Samoa,0.6303777186147259,1,0.02740772689629243
Infrastructure,Connectivity Technology,Andorra,1.768759351818795,4,0.3076103220554426
Infrastructure,Connectivity Technology,Angola,2.304046996263412,19,1.9033431708262967
Infrastructure,Connectivity Technology,Antigua and Barbuda,1.234143701789138,6,0.3219505309015142
Infrastructure,Connectivity Technology,Arab World,5.475614116,1,0.23807017895652174
Infrastructure,Connectivity Technology,Argentina,3.6309997130539498,22,3.473130160312474
Infrastructure,Connectivity Technology,Armenia,3.691526973247207,23,3.691526973247207
Infrastructure,Connectivity Technology,Aruba,3.9114454109984913,2,0.34012568791291226
Infrastructure,Connectivity Technology,Asia Pacific,0.0,0,0.0
Infrastructure,Connectivity Technology,Australia,4.310511582026594,20,3.74827094089269
Infrastructure,Connectivity Technology,Austria,4.702328344501718,23,4.702328344501718
Infrastructure,Connectivity Technology,Azerbaijan,3.5916671271581295,21,3.279348246535683
Infrastructure,Connectivity Technology,Bahamas,2.7522076770249906,12,1.4359344401869516
Infrastructure,Connectivity Technology,"Bahamas, The",2.970833333333333,2,0.2583333333333333
Infrastructure,Connectivity Technology,Bahrain,4.3198686648816,22,4.132048288147618
Infrastructure,Connectivity Technology,Bahrain (Kingdom of),4.75,1,0.20652173913043478
Infrastructure,Connectivity Technology,Bangladesh,3.298502467084869,19,2.7248498641135876
Infrastructure,Connectivity Technology,Barbados,2.792760243920919,16,1.9427897349015089
Infrastructure,Connectivity Technology,Belarus,3.9171960192082196,22,3.7468831488078624
Infrastructure,Connectivity Technology,Belgium,4.50061193295305,23,4.50061193295305
Infrastructure,Connectivity Technology,Belize,2.8111639643069326,16,1.955592322996127
Infrastructure,Connectivity Technology,Benin,2.9381335079510458,21,2.682643637694433
Infrastructure,Connectivity Technology,Bermuda,4.508616116307455,3,0.5880803629966246
Infrastructure,Connectivity Technology,Bhutan,3.251918070365644,21,2.9691425859860225
Infrastructure,Connectivity Technology,Bolivia,3.215614187945347,16,2.2369490003098065
Infrastructure,Connectivity Technology,Bolivia (Plurinational State of),2.570159377483207,6,0.6704763593434453
Infrastructure,Connectivity Technology,Bosnia and Herzegovina,3.5472399165010113,23,3.5472399165010113
Infrastructure,Connectivity Technology,Botswana,3.15818643603371,20,2.7462490748119217
Infrastructure,Connectivity Technology,Brazil,3.729468912950002,22,3.567318090647828
Infrastructure,Connectivity Technology,British Virgin Islands,3.6020009806805233,2,0.3132174765809151
Infrastructure,Connectivity Technology,Brunei,1.7618800415242215,2,0.153206960132541
Infrastructure,Connectivity Technology,Brunei Darussalam,4.124507331779884,21,3.7658545203207634
Infrastructure,Connectivity Technology,Bulgaria,3.8975680143756337,22,3.7281085354897368
Infrastructure,Connectivity Technology,Bulgaria (Rep.),5.35,1,0.2326086956521739
Infrastructure,Connectivity Technology,Burkina Faso,2.342759400973791,18,1.833463879022967
Infrastructure,Connectivity Technology,Burundi,1.986673908171449,21,1.8139196552869752
Infrastructure,Connectivity Technology,CIS,0.0,0,0.0
Infrastructure,Connectivity Technology,Cabo Verde,3.1679762326629555,18,2.4792857473014434
Infrastructure,Connectivity Technology,Cambodia,2.9570249995780924,20,2.5713260865896457
Infrastructure,Connectivity Technology,Cameroon,2.811508847715214,21,2.567029817479108
Infrastructure,Connectivity Technology,Canada,4.404123521182578,21,4.021156258471049
Infrastructure,Connectivity Technology,Cape Verde,0.6923916061723988,1,0.030103982877060818
Infrastructure,Connectivity Technology,Caribbean small states,5.9140252455,1,0.2571315324130435
Infrastructure,Connectivity Technology,Cayman Islands,2.9803285834058406,3,0.38873851087902267
Infrastructure,Connectivity Technology,Central African Rep.,0.19366666666666665,1,0.008420289855072463
