Pillar,Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Regulation,Cybersecurity,Angola,4.1,1,4.1
Regulation,Cybersecurity,Argentina,4.55,1,4.55
Regulation,Cybersecurity,Armenia,4.55,1,4.55
Regulation,Cybersecurity,Australia,4.75,1,4.75
Regulation,Cybersecurity,Azerbaijan,2.75,1,2.75
Regulation,Cybersecurity,Bahrain,2.5,1,2.5
Regulation,Cybersecurity,Bangladesh,3.0,1,3.0
Regulation,Cybersecurity,Belarus,2.55,1,2.55
Regulation,Cybersecurity,Brazil,4.2,1,4.2
Regulation,Cybersecurity,Cambodia,3.15,1,3.15
Regulation,Cybersecurity,Canada,5.35,1,5.35
Regulation,Cybersecurity,China,1.5,1,1.5
Regulation,Cybersecurity,Colombia,4.25,1,4.25
Regulation,Cybersecurity,Costa Rica,5.35,1,5.35
Regulation,Cybersecurity,Cuba,2.05,1,2.05
Regulation,Cybersecurity,Ecuador,4.1,1,4.1
Regulation,Cybersecurity,Egypt,2.3,1,2.3
Regulation,Cybersecurity,Estonia,5.7,1,5.7
Regulation,Cybersecurity,Ethiopia,2.35,1,2.35
Regulation,Cybersecurity,France,4.9,1,4.9
Regulation,Cybersecurity,"Gambia, The",3.65,1,3.65
Regulation,Cybersecurity,Georgia,4.85,1,4.85
Regulation,Cybersecurity,Germany,4.95,1,4.95
Regulation,Cybersecurity,Ghana,4.2,1,4.2
Regulation,Cybersecurity,Hungary,4.5,1,4.5
Regulation,Cybersecurity,Iceland,5.8,1,5.8
Regulation,Cybersecurity,India,3.45,1,3.45
Regulation,Cybersecurity,Indonesia,3.4,1,3.4
Regulation,Cybersecurity,Iran,1.8,1,1.8
Regulation,Cybersecurity,Iraq,3.05,1,3.05
Regulation,Cybersecurity,Italy,4.8,1,4.8
Regulation,Cybersecurity,Japan,4.8,1,4.8
Regulation,Cybersecurity,Jordan,3.35,1,3.35
Regulation,Cybersecurity,Kazakhstan,2.65,1,2.65
Regulation,Cybersecurity,Kenya,4.3,1,4.3
Regulation,Cybersecurity,Kyrgyzstan,3.65,1,3.65
Regulation,Cybersecurity,Lebanon,3.55,1,3.55
Regulation,Cybersecurity,Libya,3.4,1,3.4
Regulation,Cybersecurity,Malawi,3.95,1,3.95
Regulation,Cybersecurity,Malaysia,3.9,1,3.9
Regulation,Cybersecurity,Mexico,4.0,1,4.0
