name,format,endpoint,Excel sheet #,Excel sheet top row #,Country Column #,Year Column #
countries_ixp,csv,https://www.pch.net/ixp/dir_data_csv,,,,
countries_mobile_connectivity,xlsx,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2020.xlsx,3,3,,
number_key_internet_controls_employed,xlsx,https://freedomhouse.org/sites/default/files/2020-10/FOTN_2020_Key_Internet_Controls_Updated.xlsx,1,1,A,
id4d_nid,xlsx,https://development-data-hub-s3-public.s3.amazonaws.com/ddhfiles/94586/wb_id4d_dataset_2018_0.xlsx,7,2,,
id4d_legal,xlsx,https://development-data-hub-s3-public.s3.amazonaws.com/ddhfiles/94586/wb_id4d_dataset_2018_0.xlsx,9,1,,
cell_towers_geolocation,csv.gz,https://opencellid.org/ocid/downloads?token=pk.6f7a8f2cfa2bb43ea72428ed4a4b4f47&type=full&file=cell_towers.csv.gz,,,,
%_population_internet_coverage_2g,xlsx,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2020.xlsx,1,3,Y,
%_population_internet_coverage_3g,xlsx,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2021.xlsx,1,3,Z,
%_population_internet_coverage_4g,xlsx,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2022.xlsx,1,3,AA,
%_population_internet_coverage_5g,xlsx,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2023.xlsx,1,3,AB,
%_population_electricity_coverage,xls,https://api.worldbank.org/v2/en/indicator/EG.ELC.ACCS.ZS?downloadformat=excel,1,4,,
elec_supply_quality,xlsx,http://www3.weforum.org/docs/WEF_GCI_4.0_2019_Dataset.xlsx,1,3,,
elec_dist_gride_maps,csv,https://data.humdata.org/dataset/5040df47-96a2-4b3c-9a7f-2b7fb2b41316/resource/f1143ea6-0349-423d-9aeb-7eb905f5ffc8/download/electrical_grid_cote_divoire_15.csv,,,,
spectrum_allocated_mobile_providers,xlsx,https://www.mobileconnectivityindex.com/widgets/connectivityIndex/excel/MCI_Data_2020.xlsx,3,3,,
isp_speeds,yaml,https://github.com/awslabs/open-data-registry/blob/main/datasets/speedtest-global-performance.yaml,,,,
%_individual_internet_usage,xlsx,https://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2021/PercentIndividualsUsingInternet.xlsx,1,14,,
%_mobile_cell_sub,xlsx,https://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2020/MobileCellularSubscriptions_2000-2019.xlsx,1,1,,
fixed_broadband_speed_download_upload_latency,yaml,https://github.com/awslabs/open-data-registry/blob/main/datasets/speedtest-global-performance.yaml,,,,
postal_coverage,txt,http://pls.upu.int/pls/ap/layout.flexible_rpt3,,,,
software_developer_ecosystem_size,xlsx,https://docs.google.com/spreadsheets/d/1UC6AuwnX6xu8-fUc9KyActyNXXio6rIST6ga5CQFWLQ/view,1,1,,
migration_industry,xlsx,https://development-data-hub-s3-public.s3.amazonaws.com/ddhfiles/1202896/public_use-talent-migration.xlsx,4,1,,
migration_skill,xlsx,https://development-data-hub-s3-public.s3.amazonaws.com/ddhfiles/1202896/public_use-talent-migration.xlsx,5,1,,
migration_country,xlsx,https://development-data-hub-s3-public.s3.amazonaws.com/ddhfiles/1202896/public_use-talent-migration.xlsx,3,1,,
international_co_inventions,json,https://stats.oecd.org/SDMX-JSON/data/PATS_COOP/EPO_A+PCT_A+USPTO_A.FOR_APP+FOR_APP_S+FOR_INV+FOR_INV_S+CO_INV+CO_INV_S.AUS+CAN+JPN+NLD+USA+EU27+EU28+WLD.TOTAL+WRD+JPN+USA+EU27+EU28.PRIORITY+APPLICATION/all?startTime=1999&endTime=2019&dimensionAtObservation=allDimensions&pid=0cb10255-1a67-42b2-a2f2-37ecfe3ebbd7,,,,
b2c_ecomm_idx,xlsx,https://github.com/undp/digital-readiness-assessment/blob/shiyi/data_manifest/data/b2c_ecommerse_idx.xlsx,1,1,,
venture_cap_avail,csv,https://github.com/undp/digital-readiness-assessment/blob/shiyi/data_manifest/data/venture_cap_avail.xlsx,1,1,,
doing_bus_idx,xlsx,https://www.doingbusiness.org/content/dam/doingBusiness/excel/Historical-data---complete-data-with-scores.xlsx,1,2,,
legal_rights_strength,csv,https://github.com/undp/digital-readiness-assessment/blob/shiyi/data_manifest/data/legal_rights_strength.csv,,,,
time_start_bus,csv,https://github.com/undp/digital-readiness-assessment/blob/shiyi/data_manifest/data/time_start_bus.csv,,,,
ease_doing_bus,csv,https://github.com/undp/digital-readiness-assessment/blob/shiyi/data_manifest/data/ease_doing_bus.csv,,,,
%_population_using_internet,xlsx,http://hdr.undp.org/sites/default/files/2020_statistical_annex_all.xlsx,14,5,,
